pcds,ASScore,BHSScore,CriScore,CYPScore,DepChi,EduScore,EmpScore,EnvScore,GBScore,HDDScore,IDCScore,IDOScore,IMDScore,IncScore,IndScore,OutScore,Pop16_59,Pop60_,TotPop,WBScore,WorkPop
BD3 9JP,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9JS,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9JT,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9JU,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9JX,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9JY,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9JZ,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9LA,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9LB,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9LD,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9LE,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9LG,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9LH,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9LJ,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9LL,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9LN,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9LP,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9LS,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9LT,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9LU,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9LW,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9LX,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9LY,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9LZ,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9NA,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9NB,0.611,20.96,0.771,0.788,702,66.247,0.19,52.54,-1.146,1.112,0.327,0.776,54.574,0.35,1.218,0.925,1292,183,2177,2.602,1235.75
BD3 9ND,0.611,20.96,0.771,0.788,702,66.247,0.19,52.54,-1.146,1.112,0.327,0.776,54.574,0.35,1.218,0.925,1292,183,2177,2.602,1235.75
BD3 9NE,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9NF,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9NG,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9NH,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9NJ,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
