Postcode,Description,Grid Reference,X (easting),Y (northing),Latitude,Longitude
BD1 2EE,BD1 2EE,SE 15696 33124,415696,433124,53.794193,-1.7632092
BD1 2EF,postcode not found,,,,,
BD1 2EG,postcode not found,,,,,
BD1 2EJ,postcode not found,,,,,
BD1 2EL,postcode not found,,,,,
BD1 2EP,BD1 2EP,SE 15931 32989,415931,432989,53.792973,-1.7596488
BD1 2ER,BD1 2ER,SE 16036 32930,416036,432930,53.792439,-1.7580579
BD1 2ES,BD1 2ES,SE 16036 32916,416036,432916,53.792313,-1.7580587
BD1 2EU,postcode not found,,,,,
BD1 2EW,postcode not found,,,,,
BD1 2EX,postcode not found,,,,,
BD1 2EZ,postcode not found,,,,,
BD1 2HA,BD1 2HA,SE 15751 33270,415751,433270,53.795504,-1.7623669
BD1 2HB,BD1 2HB,SE 15728 33244,415728,433244,53.795271,-1.7627173
BD1 2HD,postcode not found,,,,,
BD1 2HE,postcode not found,,,,,
BD1 2HF,BD1 2HF,SE 15690 33340,415690,433340,53.796135,-1.7632894
BD1 2HG,postcode not found,,,,,
BD1 2HH,postcode not found,,,,,
BD1 2HJ,BD1 2HJ,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 2HL,postcode not found,,,,,
BD1 2HN,postcode not found,,,,,
BD1 2HP,BD1 2HP,SE 15676 33279,415676,433279,53.795587,-1.763505
BD1 2HQ,BD1 2HQ,SE 15623 33328,415623,433328,53.796029,-1.7643071
BD1 2HR,BD1 2HR,SE 15651 33304,415651,433304,53.795812,-1.7638832
BD1 2HS,BD1 2HS,SE 15697 33202,415697,433202,53.794894,-1.7631901
BD1 2HT,postcode not found,,,,,
BD1 2HW,postcode not found,,,,,
BD1 2HX,postcode not found,,,,,
BD1 2HY,BD1 2HY,SE 15753 33195,415753,433195,53.79483,-1.7623403
BD1 2JA,BD1 2JA,SE 15795 33147,415795,433147,53.794397,-1.7617052
BD1 2JB,BD1 2JB,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 2JD,BD1 2JD,SE 15460 33318,415460,433318,53.795944,-1.7667821
BD1 2JE,postcode not found,,,,,
BD1 2JG,postcode not found,,,,,
BD1 2JH,BD1 2JH,SE 15634 33233,415634,433233,53.795175,-1.7641449
BD1 2JL,BD1 2JL,SE 15676 33279,415676,433279,53.795587,-1.763505
BD1 2JN,BD1 2JN,SE 15449 33362,415449,433362,53.79634,-1.7669469
BD1 2JQ,postcode not found,,,,,
BD1 2JR,postcode not found,,,,,
BD1 2JS,BD1 2JS,SE 15258 33444,415258,433444,53.797082,-1.7698424
BD1 2JT,BD1 2JT,SE 15336 33353,415336,433353,53.796262,-1.7686628
BD1 2JU,postcode not found,,,,,
BD1 2JW,postcode not found,,,,,
